#,Name,Level{Item},Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,StackSize,IsUnique,IsUntradable,Price{Mid},Price{Low},CanBeHq,IsDyeable,ClassJob{Repair},Level{Equip},EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,Model{Main},Model{Sub},ClassJob{Use},MaterializeType,MateriaSlotCount,IsPvP,IsGlamourous
1,Gil,1,1,16,63,0,0,3,999999999,False,False,0,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2,Fire Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
3,Ice Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
4,Wind Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
5,Earth Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
6,Lightning Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
7,Water Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
8,Fire Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
9,Ice Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
10,Wind Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
11,Earth Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
12,Lightning Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
13,Water Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
14,Fire Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
15,Ice Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
16,Wind Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
17,Earth Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
18,Lightning Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
19,Water Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
20,Storm Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
21,Serpent Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
22,Flame Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
23,Allagan Tomestone of Philosophy,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
24,Allagan Tomestone of Mythology,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
25,Wolf Mark,55,1,16,63,0,0,3,20000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
26,Allagan Tomestone of Soldiery,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
27,Allied Seal,1,1,16,63,0,0,3,4000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
28,Allagan Tomestone of Poetics,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
