#,Name,Level{Item},Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,StackSize,IsUnique,IsUntradable,Price{Mid},Price{Low},CanBeHq,IsDyeable,ClassJob{Repair},Level{Equip},EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,MaterializeType,MateriaSlotCount,IsPvP,IsGlamourous
1,Gil,1,1,16,63,0,0,3,999999999,False,False,0,0,False,False,0,1,0,0,0,0,0,0,False,False
2,Fire Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
3,Ice Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
4,Wind Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
5,Earth Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
6,Lightning Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
7,Water Shard,1,1,11,59,58,0,4,9999,False,False,9,0,False,False,0,1,0,0,0,0,0,0,False,False
8,Fire Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
9,Ice Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
10,Wind Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
11,Earth Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
12,Lightning Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
13,Water Crystal,25,1,11,59,58,0,4,9999,False,False,229,0,False,False,0,1,0,0,0,0,0,0,False,False
14,Fire Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
15,Ice Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
16,Wind Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
17,Earth Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
18,Lightning Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
19,Water Cluster,50,1,11,59,58,0,4,9999,False,False,990,0,False,False,0,1,0,0,0,0,0,0,False,False
20,Storm Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
21,Serpent Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
22,Flame Seal,1,1,16,63,0,0,3,200000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
23,Allagan Tomestone of Philosophy,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
24,Allagan Tomestone of Mythology,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
25,Wolf Mark,55,1,16,63,0,0,3,20000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
26,Allagan Tomestone of Soldiery,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
27,Allied Seal,1,1,16,63,0,0,3,4000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
28,Allagan Tomestone of Poetics,1,1,16,63,0,0,3,2000,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
29,MGP,1,1,16,63,0,0,3,9999999,False,False,1,0,False,False,0,1,0,0,0,0,0,0,False,False
30,Allagan Tomestone of Law,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
31,Allagan Tomestone of Esoterics,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
32,Allagan Tomestone of Lore,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
33,Allagan Tomestone of Scripture,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
34,Allagan Tomestone of Verity,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
35,Allagan Tomestone of Creation,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
36,Allagan Tomestone of Mendacity,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
37,Allagan Tomestone of Genesis,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
38,Allagan Tomestone of Goetia,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
39,Allagan Tomestone of Phantasmagoria,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
40,Allagan Tomestone of Allegory,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
41,Allagan Tomestone of Revelation,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
42,Allagan Tomestone of Aphorism,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
43,Allagan Tomestone of Astronomy,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
44,Allagan Tomestone of Causality,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
45,Allagan Tomestone of Comedy,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,0,0,False,False
1601,Weathered Shortsword,1,1,1,2,10,1,5,1,False,False,63,1,False,False,9,1,1,38,0,0,3,0,False,True
1602,Bronze Bastard Sword,5,1,1,2,10,1,5,1,False,False,151,3,True,False,9,5,1,38,0,0,3,0,False,True
1603,Viking Sword,7,1,1,2,10,1,5,1,False,False,204,3,True,False,9,7,1,38,0,0,3,0,False,True
1604,Ash Macuahuitl,10,1,1,2,10,1,5,1,False,False,316,5,True,False,8,10,1,38,0,0,3,0,False,True
1605,Bronze Spatha,13,1,1,2,10,1,5,1,False,False,416,6,True,False,9,13,1,38,0,0,3,0,False,True
1606,Blunt Bastard Sword,30,1,1,2,10,1,5,1,False,False,1345,30,False,False,9,35,1,38,0,0,3,0,False,True
1607,Brass Bastard Sword,15,1,1,2,10,1,5,1,False,False,504,8,True,False,9,15,1,38,0,0,3,1,False,True
1609,Brass Viking Sword,18,1,1,2,10,1,5,1,False,False,648,10,True,False,9,18,1,38,0,0,3,1,False,True
1611,Carnage Sword,20,1,1,2,10,1,5,1,False,False,869,11,True,False,9,20,1,38,0,0,3,1,False,True
1613,Blunt Goblin Scimitar,37,1,1,2,10,1,5,1,False,False,2273,43,False,False,9,42,1,38,0,0,3,0,False,True
1614,Iron Shortsword,22,1,1,2,10,1,5,1,False,False,1297,14,True,False,9,22,1,38,0,0,3,1,False,True
1616,Nicked Viking Sword,33,1,1,2,10,1,5,1,False,False,1646,36,False,False,9,38,1,38,0,0,3,0,False,True
1621,Blunt Goblin Longsword,40,1,1,2,10,1,5,1,False,False,2862,49,False,False,9,45,1,38,0,0,3,0,False,True
1622,Iron Spatha,24,1,1,2,10,1,5,1,False,False,1354,17,True,False,9,24,1,38,0,0,3,1,False,True
1625,Steel Broadsword,26,1,1,2,10,1,5,1,False,False,1737,21,True,False,9,26,1,38,0,0,3,1,False,True
1627,Elm Macuahuitl,28,1,1,2,10,1,5,1,False,False,2284,25,True,False,8,28,1,38,0,0,3,1,False,True
1633,Steel Falchion,31,1,1,2,10,1,5,1,False,False,3398,32,True,False,9,31,1,38,0,0,3,1,False,True
1635,Vintage Bastard Sword,38,1,1,2,10,1,5,1,False,False,5199,45,True,False,9,35,1,38,0,0,3,2,False,True
1636,Blunt Aeolian Scimitar,45,1,1,2,10,1,5,1,False,False,3168,60,False,False,9,50,1,38,0,0,3,0,False,True
1637,Walnut Macuahuitl,34,1,1,2,10,1,5,1,False,False,3622,38,True,False,8,34,1,38,0,0,3,1,False,True
1639,Steel Longsword,36,1,1,2,10,1,5,1,False,False,4795,41,True,False,9,36,1,38,0,0,3,1,False,True
1642,Goblin Scimitar,45,1,1,2,10,1,5,1,False,False,7920,60,True,False,9,42,1,38,0,0,3,2,False,True
1643,Mythril Broadsword,38,1,1,2,10,1,5,1,False,False,4159,45,True,False,9,38,1,38,0,0,3,1,False,True
1648,Vintage Viking Sword,41,1,1,2,10,1,5,1,False,False,5909,51,True,False,9,38,1,38,0,0,3,2,False,True
1649,Goblin Longsword,48,1,1,2,10,1,5,1,False,False,9773,67,True,False,9,45,1,38,0,0,3,2,False,True
1650,Plumed Oak Macuahuitl,41,1,1,2,10,1,5,1,False,False,4952,51,True,False,8,41,1,38,0,0,3,1,False,True
1657,Cobalt Katzbalger,43,1,1,2,10,1,5,1,False,False,6470,55,True,False,9,43,1,38,0,0,3,1,False,True
1659,Cobalt Shamshir,46,1,1,2,10,1,5,1,False,False,6577,62,True,False,9,46,1,38,0,0,3,1,False,True
1662,Thormoen's Pride,52,2,1,2,10,1,5,1,True,False,9059,38,False,False,8,50,1,38,0,0,3,0,False,True
1663,Cobalt Winglet,49,1,1,2,10,1,5,1,False,False,8102,69,True,False,9,49,1,38,0,0,3,1,False,True
1666,Giantsgall Longsword,70,2,1,2,10,1,5,1,False,False,13305,100,True,False,14,50,1,38,0,0,3,1,False,True
1670,Aeolian Scimitar,55,2,1,2,10,1,5,1,False,False,10454,79,True,False,9,50,1,38,0,0,3,2,False,True
1673,Mailbreaker,70,2,1,2,10,1,5,1,False,False,14691,100,True,False,9,50,1,38,0,0,3,1,False,True
1680,Weathered Hora,1,1,1,1,9,13,5,1,False,False,89,2,False,False,11,1,1,41,0,0,5,0,False,True
1681,Bone Hora,5,1,1,1,9,13,5,1,False,False,212,4,True,False,11,5,1,41,0,0,5,0,False,True
1682,Leather Himantes,8,1,1,1,9,13,5,1,False,False,308,5,True,False,12,8,1,41,0,0,5,0,False,True
1683,Ramhorn Claws,10,1,1,1,9,13,5,1,False,False,446,7,True,False,11,10,1,41,0,0,5,0,False,True
1684,Bronze Knuckles,12,1,1,1,9,13,5,1,False,False,555,8,True,False,9,12,1,41,0,0,5,0,False,True
1685,Hard Leather Himantes,14,1,1,1,9,13,5,1,False,False,598,10,True,False,12,14,1,41,0,0,5,0,False,True
1686,Brass Knuckles,16,1,1,1,9,13,5,1,False,False,808,12,True,False,9,16,1,41,0,0,5,2,False,True
1688,Goatskin Cesti,19,1,1,1,9,13,5,1,False,False,915,16,True,False,12,19,1,41,0,0,5,2,False,True
1694,Spiked Knuckles,23,1,1,1,9,13,5,1,False,False,1745,23,True,False,9,23,1,41,0,0,5,2,False,True
1697,Toadskin Cesti,26,1,1,1,9,13,5,1,False,False,2274,31,True,False,12,26,1,41,0,0,5,2,False,True
1699,Steel Claws,29,1,1,1,9,13,5,1,False,False,3586,41,True,False,9,29,1,41,0,0,5,2,False,True
1701,Chipped Hora,40,1,1,1,9,13,5,1,False,False,3186,73,False,False,11,45,1,41,0,0,5,0,False,True
1706,Crabshell Hora,32,1,1,1,9,13,5,1,False,False,4399,51,True,False,11,32,1,41,0,0,5,2,False,True
1708,Boarskin Himantes,35,1,1,1,9,13,5,1,False,False,4752,59,True,False,12,35,1,41,0,0,5,2,False,True
1711,Mythril Claws,38,1,1,1,9,13,5,1,False,False,6140,67,True,False,9,38,1,41,0,0,5,2,False,True
1716,Tortoiseshell Hora,41,1,1,1,9,13,5,1,False,False,6641,76,True,False,11,41,1,41,0,0,5,2,False,True
1723,Cobalt Knuckles,43,1,1,1,9,13,5,1,False,False,7568,83,True,False,9,43,1,41,0,0,5,2,False,True
1728,Peisteskin Cesti,46,1,1,1,9,13,5,1,False,False,7537,93,True,False,12,46,1,41,0,0,5,2,False,True
1731,Symon's Honeyclaws,52,2,1,1,9,13,5,1,True,False,12765,56,False,False,11,50,1,41,0,0,5,0,False,True
1732,Vintage Hora,48,1,1,1,9,13,5,1,False,False,10879,100,True,False,11,45,1,41,0,0,5,3,False,True
1733,Cobalt Claws,49,1,1,1,9,13,5,1,False,False,9478,104,True,False,9,49,1,41,0,0,5,2,False,True
1736,Giantsgall Claws,70,2,1,1,9,13,5,1,False,False,17186,150,True,False,14,50,1,41,0,0,5,2,False,True
1740,Wildling's Cesti,55,2,1,1,9,13,5,1,False,False,11979,118,True,False,12,50,1,41,0,0,5,3,False,True
1743,Avengers,70,2,1,1,9,13,5,1,False,False,17186,150,True,False,9,50,1,41,0,0,5,2,False,True
1749,Weathered War Axe,1,1,1,3,11,13,5,1,False,False,94,2,False,False,9,1,1,44,0,0,3,0,False,True
1750,Bronze War Axe,5,1,1,3,11,13,5,1,False,False,223,4,True,False,9,5,1,44,0,0,3,0,False,True
1751,Bronze Labrys,8,1,1,3,11,13,5,1,False,False,436,5,True,False,9,8,1,44,0,0,3,0,False,True
1752,Cloud Axe,10,1,1,3,11,13,5,1,False,False,446,7,True,False,9,10,1,44,0,0,3,0,False,True
1753,Spiked Bronze Labrys,13,1,1,3,11,13,5,1,False,False,773,9,True,False,9,13,1,44,0,0,3,0,False,True
1754,Iron War Axe,15,1,1,3,11,13,5,1,False,False,744,11,True,False,9,15,1,44,0,0,3,2,False,True
1756,Iron Labrys,18,1,1,3,11,13,5,1,False,False,1204,14,True,False,9,18,1,44,0,0,3,2,False,True
1758,Inferno Axe,20,1,1,3,11,13,5,1,False,False,1116,17,True,False,9,20,1,44,0,0,3,2,False,True
1764,Iron Bill,23,1,1,3,11,13,5,1,False,False,2027,23,True,False,9,23,1,44,0,0,3,2,False,True
1766,Thunderstorm Axe,25,1,1,3,11,13,5,1,False,False,2271,28,True,False,9,25,1,44,0,0,3,2,False,True
1769,Spiked Steel Labrys,28,1,1,3,11,13,5,1,False,False,4049,37,True,False,9,28,1,44,0,0,3,2,False,True
1771,Notched Bill,42,1,1,3,11,13,5,1,False,False,4222,80,False,False,9,47,1,44,0,0,3,0,False,True
1776,Steel Bardiche,31,1,1,3,11,13,5,1,False,False,5097,48,True,False,9,31,1,44,0,0,3,2,False,True
1778,Steel Bhuj,34,1,1,3,11,13,5,1,False,False,5927,56,True,False,9,34,1,44,0,0,3,2,False,True
1781,Spiked Mythril Labrys,38,1,1,3,11,13,5,1,False,False,7725,67,True,False,9,38,1,44,0,0,3,2,False,True
1786,Mythril Bhuj,41,1,1,3,11,13,5,1,False,False,8104,76,True,False,9,41,1,44,0,0,3,2,False,True
1796,Buccaneer's Bardiche,45,1,1,3,11,13,5,1,False,False,9504,90,True,False,9,45,1,44,0,0,3,2,False,True
1799,Sibold's Reach,52,2,1,3,11,13,5,1,True,False,14824,56,False,False,9,50,1,44,0,0,3,0,False,True
1800,Vintage Bill,50,1,1,3,11,13,5,1,False,False,14256,107,True,False,9,47,1,44,0,0,3,3,False,True
1801,Demilune Bhuj,48,1,1,3,11,13,5,1,False,False,10621,100,True,False,9,48,1,44,0,0,3,2,False,True
1803,Spiked Cobalt Labrys,49,1,1,3,11,13,5,1,False,False,11924,104,True,False,9,49,1,44,0,0,3,2,False,True
1806,Giantsgall War Axe,70,2,1,3,11,13,5,1,False,False,21621,150,True,False,14,50,1,44,0,0,3,2,False,True
1810,Barbarian's Bardiche,55,2,1,3,11,13,5,1,False,False,15681,118,True,False,9,50,1,44,0,0,3,3,False,True
1813,Rampager,70,2,1,3,11,13,5,1,False,False,21621,150,True,False,9,50,1,44,0,0,3,2,False,True
1819,Weathered Spear,1,1,1,5,13,13,5,1,False,False,109,2,False,False,8,1,1,47,0,0,4,0,False,True
1820,Bone Harpoon,5,1,1,5,13,13,5,1,False,False,212,4,True,False,8,5,1,47,0,0,4,0,False,True
